,VidName,FrameNumber,ObjEntropy,SceneEntropy,__background__,person,bicycle,car_coco,motorcycle,airplane,bus,train,truck,boat,traffic light,fire hydrant,stop sign,parking meter,bench,bird,cat,dog,horse,sheep,cow,elephant,bear,zebra,giraffe,backpack,umbrella,handbag,tie,suitcase,frisbee,skis,snowboard,sports ball,kite,baseball bat,baseball glove,skateboard,surfboard,tennis racket,bottle,wine glass,cup,fork,knife,spoon,bowl,banana,apple,sandwich,orange,broccoli,carrot,hot dog,pizza,donut,cake,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,mouse,remote,keyboard,cell phone,microwave,oven,toaster,sink,refrigerator,book,clock,vase,scissors,teddy bear,hair drier,toothbrush,sky,building,pole,road_marking,road,pavement,tree,sign_symbol,fence,car_enet,pedestrian,bicyclist,unlabeled
1410,StPaulsCross1_EQR_720p,15000,0.15941876890564557,1.5633858691878466,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10731944444444444,0.07777777777777778,0.006732638888888889,0.169234375,0.03049652777777778,0.5046354166666667,0.032748263888888886,0.005788194444444445,0.06010243055555556,0.00038541666666666667,0.004779513888888889,0.0,0.0
1411,RegentsParkFields2_EQR_720p,18000,0.049569884686998356,1.5677577401941216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061171875,0.1395173611111111,0.005272569444444444,0.24123263888888888,0.038536458333333336,0.44740104166666667,0.0236875,0.016151041666666668,0.022378472222222223,0.000171875,0.004479166666666667,0.0,0.0
1412,MarchmontGarden2_EQR_720p,32400,0.049569884686998356,1.7022220390000176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26485493827160494,0.15642283950617283,0.010469135802469135,0.13472993827160493,0.0325570987654321,0.3218248456790124,0.0071342592592592595,0.015703703703703702,0.05568672839506173,0.0005902777777777778,2.623456790123457e-05,0.0,0.0
1413,CamdenTown3_EQR_720p,18000,0.3766247200678531,1.5196284170346885,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3733315972222222,0.19238541666666667,0.015854166666666666,0.3099045138888889,0.032713541666666665,0.011770833333333333,0.0068125,8.680555555555556e-06,0.04147222222222222,0.010027777777777778,0.00571875,0.0,0.0
1414,EustonTap1_EQR_720p,6000,0.6042298605490264,1.7111889879060467,0,13,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39109895833333336,0.06506770833333334,0.02060590277777778,0.2659392361111111,0.08290798611111111,0.0956875,0.01129513888888889,0.0033680555555555556,0.04051736111111111,0.015428819444444445,0.008083333333333333,0.0,0.0
1415,EustonTap1_EQR_720p,14100,0.4935638009525234,1.69413515255115,0,3,0,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39008159722222224,0.07153125,0.021,0.2677309027777778,0.07917361111111111,0.10040277777777777,0.012885416666666667,0.003199652777777778,0.039572916666666666,0.009378472222222222,0.005043402777777778,0.0,0.0
1416,TateModern3_0093,18900,0.39718968340696653,1.6924556976336553,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2912795138888889,0.080359375,0.015489583333333333,0.20814583333333334,0.05402083333333333,0.30075,0.012767361111111111,0.00971701388888889,0.019769097222222223,0.0021666666666666666,0.005534722222222222,0.0,0.0
1417,MarchmontGarden2_EQR_720p,21900,0.18304553477964297,1.7331392984223473,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26026311728395063,0.15857098765432098,0.010239197530864198,0.1320023148148148,0.02876466049382716,0.31743055555555555,0.013372685185185185,0.013278549382716049,0.06189969135802469,0.0041682098765432095,1.0030864197530864e-05,0.0,0.0
1418,CamdenMarket1_EQR_720p,8400,0.6296143759827189,1.71814867631753,0,28,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4040642361111111,0.11907118055555556,0.033442708333333335,0.23478298611111112,0.045001736111111114,0.02578125,0.017477430555555555,0.000765625,0.09314756944444444,0.016652777777777777,0.0098125,0.0,0.0
1419,StPaulsRow1_0097,24600,0.3134064259541844,1.5645671422999625,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28746527777777775,0.2856284722222222,0.0027881944444444443,0.2913645833333333,0.06338541666666667,0.02621875,0.004508680555555556,0.00975,0.013463541666666667,0.009199652777777777,0.0062274305555555555,0.0,0.0
